序号,姓名,搜索指数；日均值,咨询指数；日均值,年龄分布,篇数,涉及公众号,阅读数,点赞数,10w+篇数,原创篇数,粉丝/万,微博数
1,刘慈欣,6112.00 ,841748,30-39,7436,4361,34672085,506642,95,922,19,7
2,韩寒,4363.00 ,303289,30-39,6641,3895,23529812,164965,50,763,4577,725
3,金庸,9796.00 ,2905131,30-39,2249,1806,9771071,87387,19,266,0,0
4,张爱玲,5473.00 ,631641,30-39,2814,2360,13044985,105763,35,144,0,0
5,东野圭吾,3535.00 ,14696,30-39,366,327,946242,6312,1,30,0,0
6,路遥,2237.00 ,27037,30-39,1422,1131,10110493,143549,29,57,0,0
7,吴磊,20677.00 ,1085104,30-39,3533,3085,20213554,120423,40,255,3695,1002
8,赵丽颖,69967.00 ,13503808,30-39,3008,1967,11537179,43091,18,250,8360,1355
9,翟天临,19754.00 ,1004938,30-39,2941,2539,14162401,98243,27,212,1123,4030
10,周笔畅,9315.00 ,551313,30-39,233,209,1153689,6421,1,36,3155,1777
11,费玉清,7723.00 ,323297,40-49,882,816,3130982,18545,3,64,0,0
12,成龙,17446.00 ,3935788,30-39,9561,6142,23100488,172555,36,590,3074,1069
13,赵本山,9728.00 ,2967973,30-39,7945,5407,23022277,126852,26,253,1527,18
14,崔永元,14331.00 ,1047253,30-39,4243,2378,10128589,84195,6,118,2043,949
15,范丞丞,11796.00 ,1892636,30-39,544,430,2134837,6217,3,41,1074,174
16,古天乐,12592.00 ,1913318,30-39,820,642,3545856,16749,6,51,1316,3777
17,董卿,9810.00 ,1907499,30-39,8372,5254,30626066,194020,47,192,0,0
18,沈梦辰,9537.00 ,2394405,30-39,1260,1165,4297143,12851,7,76,627,2422
19,赵忠祥,3387.00 ,351815,30-39,2445,2238,5904678,36952,10,48,563,3305
20,张菲,994.00 ,26004,30-39,60,59,91291,504,0,3,0,0
